

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
132.459  000.039  000.039: require('nvim-tree.actions.fs.copy-paste')
132.519  000.026  000.026: require('nvim-tree.actions.tree-modifiers.expand-all')
132.544  000.023  000.023: require('nvim-tree.actions.tree-modifiers.toggles')
132.573  000.026  000.026: require('nvim-tree.actions.fs.create-file')
132.601  000.026  000.026: require('nvim-tree.actions.fs.rename-file')
132.630  000.027  000.027: require('nvim-tree.actions.fs.trash')
132.661  000.029  000.029: require('nvim-tree.actions.fs.remove-file')
132.687  000.024  000.024: require('nvim-tree.actions.moves.parent')
132.711  000.022  000.022: require('nvim-tree.actions.moves.sibling')
132.738  000.025  000.025: require('nvim-tree.actions.moves.item')
132.764  000.022  000.022: require('nvim-tree.actions.finders.search-node')
132.790  000.022  000.022: require('nvim-tree.actions.node.run-command')
132.825  000.033  000.033: require('nvim-tree.actions.node.file-popup')
132.859  000.031  000.031: require('nvim-tree.actions.node.system-open')
132.885  000.024  000.024: require('nvim-tree.marks.bulk-move')
132.887  000.426  000.065: require('nvim-tree.actions.dispatch')
132.922  004.155  000.623: require('nvim-tree')
135.537  000.080  000.080: require('nvim-tree.actions')
135.591  000.047  000.047: require('nvim-tree.actions.node.open-file')
136.621  000.032  000.032: require('nvim-tree.marks.navigation')
136.626  000.097  000.065: require('nvim-tree.api')
136.638  000.163  000.066: require('nvim-tree.keymap')
137.090  000.053  000.053: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-web-devicons/plugin/nvim-web-devicons.vim
137.353  000.437  000.383: require('nvim-web-devicons')
139.466  000.056  000.056: sourcing /usr/local/share/nvim/runtime/plugin/editorconfig.lua
139.740  000.247  000.247: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
139.777  000.013  000.013: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
139.841  000.038  000.038: sourcing /usr/local/share/nvim/runtime/plugin/man.lua
139.880  000.014  000.014: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
140.411  000.287  000.287: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
140.489  000.587  000.300: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
140.723  000.209  000.209: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
141.248  000.495  000.495: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
141.309  000.022  000.022: sourcing /usr/local/share/nvim/runtime/plugin/nvim.lua
141.524  000.013  000.013: sourcing /home/nelson/.local/share/nvim/rplugin.vim
141.534  000.191  000.178: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
141.640  000.081  000.081: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
141.701  000.028  000.028: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
141.875  000.144  000.144: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
142.027  000.113  000.113: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
142.099  000.027  000.027: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
142.348  000.218  000.218: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
143.183  000.566  000.566: require('cmp-emmet')
143.218  000.619  000.052: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/cmp-emmet/after/plugin/cmp-emmet.lua
143.336  000.046  000.046: require('cmp_nvim_lsp_signature_help')
143.353  000.075  000.029: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/cmp-nvim-lsp-signature-help/after/plugin/cmp_nvim_lsp_signature_help.lua
143.725  000.318  000.318: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/bigfile.nvim/after/plugin/bigfile.lua
143.841  000.037  000.037: require('cmp_copilot')
143.860  000.070  000.033: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/cmp-copilot/after/plugin/cmp_copilot.lua
143.958  000.031  000.031: require('cmp_emoji')
143.974  000.061  000.030: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/cmp-emoji/after/plugin/cmp_emoji.lua
146.707  000.036  000.036: require('onedarker')
146.797  000.030  000.030: require('onedarker.config')
146.833  000.033  000.033: require('onedarker.palette')
146.859  000.149  000.086: require('onedarker.highlights')
147.835  000.072  000.072: require('onedarker.highlights.Treesitter')
147.890  000.051  000.051: require('onedarker.highlights.markdown')
147.917  000.025  000.025: require('onedarker.highlights.Whichkey')
147.947  000.029  000.029: require('onedarker.highlights.Notify')
147.973  000.024  000.024: require('onedarker.highlights.Git')
148.040  000.065  000.065: require('onedarker.highlights.LSP')
148.068  000.027  000.027: require('onedarker.highlights.Diff')
149.575  004.051  003.572: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/onedarker.nvim/colors/onedarker.vim
154.835  000.258  000.258: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/quick-scope/autoload/quick_scope.vim
